Site ID,site_name,DateTime,Day,Month,Year,Rainfall (mm)
99550,Dromana Beach,01/01/2024 00:00,Monday,January,2024,0.00
99550,Dromana Beach,02/01/2024 00:00,Tuesday,January,2024,0.00
99550,Dromana Beach,03/01/2024 00:00,Wednesday,January,2024,4.00
99550,Dromana Beach,04/01/2024 00:00,Thursday,January,2024,2.00
99550,Dromana Beach,05/01/2024 00:00,Friday,January,2024,0.00
99550,Dromana Beach,06/01/2024 00:00,Saturday,January,2024,0.00
99550,Dromana Beach,07/01/2024 00:00,Sunday,January,2024,0.00
99550,Dromana Beach,08/01/2024 00:00,Monday,January,2024,40.00
99550,Dromana Beach,09/01/2024 00:00,Tuesday,January,2024,12.80
99550,Dromana Beach,10/01/2024 00:00,Wednesday,January,2024,0.00
99550,Dromana Beach,11/01/2024 00:00,Thursday,January,2024,0.00
99550,Dromana Beach,12/01/2024 00:00,Friday,January,2024,0.00
99550,Dromana Beach,13/01/2024 00:00,Saturday,January,2024,0.00
99550,Dromana Beach,14/01/2024 00:00,Sunday,January,2024,0.60
99550,Dromana Beach,15/01/2024 00:00,Monday,January,2024,0.00
99550,Dromana Beach,16/01/2024 00:00,Tuesday,January,2024,0.00
99550,Dromana Beach,17/01/2024 00:00,Wednesday,January,2024,0.00
99550,Dromana Beach,18/01/2024 00:00,Thursday,January,2024,18.00
99550,Dromana Beach,19/01/2024 00:00,Friday,January,2024,5.40
99550,Dromana Beach,20/01/2024 00:00,Saturday,January,2024,0.20
99550,Dromana Beach,21/01/2024 00:00,Sunday,January,2024,0.00
99550,Dromana Beach,22/01/2024 00:00,Monday,January,2024,0.00
99550,Dromana Beach,23/01/2024 00:00,Tuesday,January,2024,0.00
99550,Dromana Beach,24/01/2024 00:00,Wednesday,January,2024,0.00
99550,Dromana Beach,25/01/2024 00:00,Thursday,January,2024,1.80
99550,Dromana Beach,26/01/2024 00:00,Friday,January,2024,4.40
99550,Dromana Beach,27/01/2024 00:00,Saturday,January,2024,0.00
99550,Dromana Beach,28/01/2024 00:00,Sunday,January,2024,0.00
99550,Dromana Beach,29/01/2024 00:00,Monday,January,2024,0.00
99550,Dromana Beach,30/01/2024 00:00,Tuesday,January,2024,0.00
99550,Dromana Beach,31/01/2024 00:00,Wednesday,January,2024,0.00
99550,Dromana Beach,01/02/2024 00:00,Thursday,February,2024,0.00
99550,Dromana Beach,02/02/2024 00:00,Friday,February,2024,0.20
99550,Dromana Beach,03/02/2024 00:00,Saturday,February,2024,0.00
99550,Dromana Beach,04/02/2024 00:00,Sunday,February,2024,0.00
99550,Dromana Beach,05/02/2024 00:00,Monday,February,2024,0.20
99550,Dromana Beach,06/02/2024 00:00,Tuesday,February,2024,0.80
99550,Dromana Beach,07/02/2024 00:00,Wednesday,February,2024,0.00
99550,Dromana Beach,08/02/2024 00:00,Thursday,February,2024,0.00
99550,Dromana Beach,09/02/2024 00:00,Friday,February,2024,0.00
99550,Dromana Beach,10/02/2024 00:00,Saturday,February,2024,0.00
99550,Dromana Beach,11/02/2024 00:00,Sunday,February,2024,0.00
99550,Dromana Beach,12/02/2024 00:00,Monday,February,2024,0.00
99550,Dromana Beach,13/02/2024 00:00,Tuesday,February,2024,0.00
99550,Dromana Beach,14/02/2024 00:00,Wednesday,February,2024,2.20
99550,Dromana Beach,15/02/2024 00:00,Thursday,February,2024,0.00
99550,Dromana Beach,16/02/2024 00:00,Friday,February,2024,0.00
99550,Dromana Beach,17/02/2024 00:00,Saturday,February,2024,0.00
99550,Dromana Beach,18/02/2024 00:00,Sunday,February,2024,0.00
99550,Dromana Beach,19/02/2024 00:00,Monday,February,2024,0.00
99550,Dromana Beach,20/02/2024 00:00,Tuesday,February,2024,0.00
99550,Dromana Beach,21/02/2024 00:00,Wednesday,February,2024,0.00
99550,Dromana Beach,22/02/2024 00:00,Thursday,February,2024,0.00
99550,Dromana Beach,23/02/2024 00:00,Friday,February,2024,0.00
99550,Dromana Beach,24/02/2024 00:00,Saturday,February,2024,0.20
99550,Dromana Beach,25/02/2024 00:00,Sunday,February,2024,0.00
99550,Dromana Beach,26/02/2024 00:00,Monday,February,2024,0.00
99550,Dromana Beach,27/02/2024 00:00,Tuesday,February,2024,0.00
99550,Dromana Beach,28/02/2024 00:00,Wednesday,February,2024,0.00
99550,Dromana Beach,29/02/2024 00:00,Thursday,February,2024,0.00
99550,Dromana Beach,01/03/2024 00:00,Friday,March,2024,0.00
99550,Dromana Beach,02/03/2024 00:00,Saturday,March,2024,0.40
99550,Dromana Beach,03/03/2024 00:00,Sunday,March,2024,0.00
99550,Dromana Beach,04/03/2024 00:00,Monday,March,2024,0.00
99550,Dromana Beach,05/03/2024 00:00,Tuesday,March,2024,0.00
99550,Dromana Beach,06/03/2024 00:00,Wednesday,March,2024,0.00
99550,Dromana Beach,07/03/2024 00:00,Thursday,March,2024,0.00
99550,Dromana Beach,08/03/2024 00:00,Friday,March,2024,0.00
99550,Dromana Beach,09/03/2024 00:00,Saturday,March,2024,0.00
99550,Dromana Beach,10/03/2024 00:00,Sunday,March,2024,0.00
99550,Dromana Beach,11/03/2024 00:00,Monday,March,2024,0.00
99550,Dromana Beach,12/03/2024 00:00,Tuesday,March,2024,0.00
99550,Dromana Beach,13/03/2024 00:00,Wednesday,March,2024,1.00
99550,Dromana Beach,14/03/2024 00:00,Thursday,March,2024,2.00
99550,Dromana Beach,15/03/2024 00:00,Friday,March,2024,0.00
99550,Dromana Beach,16/03/2024 00:00,Saturday,March,2024,0.00
