site_area_id,site_area,date_time,Day,Month,Year,Chlorophyll-a Concentration (ug/L),Dissolved Oxygen (mg/L),Salinity (PSU),Turbidity,Dissolved Oxygen Saturation Percentage (%),Water Temperature (%),pH Level,Suspended Solids (mg/L),Ammonia (ug/L),Total Nitrogen (ug/L),Total Phosphorus (ug/L)
1282,Dromana Beach,11/04/1990,Wednesday,April,1990,0.6,7.22,35.245,,,,,2.03,5.5,163.92,80.05
1282,Dromana Beach,29/05/1990,Tuesday,May,1990,0.85,8.71,35.094,,104.44,13.8,,2.8,5.43,101.08,78.77
1282,Dromana Beach,11/07/1990,Wednesday,July,1990,0.54,9.27,34.61,,103.64,10.63,,1.7,14.26,172.28,86.56
1282,Dromana Beach,9/10/1990,Tuesday,October,1990,0.41,8.47,34.663,,101.29,13.8,,1.8,5.75,145.64,65.14
1282,Dromana Beach,28/11/1990,Wednesday,November,1990,0.37,8.03,34.729,,105.6,18.6,,2.55,5.77,116.44,53.51
1282,Dromana Beach,10/01/1991,Thursday,January,1991,0.49,7.51,34.747,,107.06,23.0,,1.8,5.56,150.39,69.62
1282,Dromana Beach,05/02/1991,Tuesday,February,1991,0.28,7.7,34.789,,106.04,21.1,,1.4,8.7,165.23,73.8
1282,Dromana Beach,05/03/1991,Tuesday,March,1991,0.39,7.59,35.223,,103.0,20.1,,1.9,5.68,139.78,71.49
1282,Dromana Beach,08/03/1991,Friday,March,1991,0.0,6.99,35.138,,92.726,18.9,,2.3,5.81,193.26,84.73
1282,Dromana Beach,23/04/1991,Tuesday,April,1991,0.66,7.71,35.621,,94.867,14.9,,2.1,5.37,145.61,58.48
1282,Dromana Beach,13/06/1991,Thursday,June,1991,0.96,8.29,35.278,,100.91,14.5,,2.4,3.84,147.74,73.66
1282,Dromana Beach,24/10/1991,Thursday,October,1991,0.46,8.34,34.401,,101.39,14.7,,2.5,2.05,147.18,56.71
1282,Dromana Beach,12/12/1991,Thursday,December,1991,0.42,8.01,34.939,,103.73,17.7,,1.55,5.46,142.43,56.71
1282,Dromana Beach,30/12/1991,Monday,December,1991,0.7,7.71,34.804,,100.42,18.1,,5.3,5.18,139.63,65.97
1282,Dromana Beach,21/01/1992,Tuesday,January,1992,0.49,7.69,35.018,,93.623,14.6,,2.55,6.97,184.45,60.91
1282,Dromana Beach,27/02/1992,Thursday,February,1992,0.43,3.47,35.199,,47.865,21.0,,1.75,5.5,124.71,69.37
1282,Dromana Beach,25/03/1992,Wednesday,March,1992,0.56,4.65,35.252,,63.498,20.5,,2.75,5.12,165.09,69.21
1282,Dromana Beach,28/04/1992,Tuesday,April,1992,0.2,4.46,35.23,,56.419,16.4,,1.95,15.58,159.79,78.06
1282,Dromana Beach,15/06/1992,Monday,June,1992,1.74,8.89,34.872,,102.34,11.9,,1.23,3.51,139.85,61.73
1282,Dromana Beach,26/08/1992,Wednesday,August,1992,0.57,9.39,34.577,,105.31,10.8,,0.67,5.99,160.7,68.01
1282,Dromana Beach,5/11/1992,Thursday,November,1992,0.23,8.64,33.733,,104.25,14.5,,1.35,6.1,159.15,63.74
1282,Dromana Beach,10/12/1992,Thursday,December,1992,0.26,8.04,33.677,,111.51,21.8,,0.9,6.55,152.8,63.63
1282,Dromana Beach,12/01/1993,Tuesday,January,1993,,7.06,33.638,,98.354,22.1,,1.0,9.52,176.11,62.02
1282,Dromana Beach,25/02/1993,Thursday,February,1993,0.85,7.41,33.78,,101.65,21.2,,0.55,7.49,182.25,68.06
1282,Dromana Beach,30/03/1993,Tuesday,March,1993,0.56,7.79,33.877,,102.85,19.1,,0.75,5.53,197.3,72.93
1282,Dromana Beach,20/05/1993,Thursday,May,1993,0.68,8.22,33.92,,102.13,15.9,,0.41,10.11,192.15,81.06
1282,Dromana Beach,20/07/1993,Tuesday,July,1993,0.68,8.94,33.724,,101.25,11.5,,4.57,9.01,169.24,76.19
1282,Dromana Beach,02/02/1994,Wednesday,February,1994,0.83,7.79,33.18,,105.88,20.9,,1.02,5.61,157.85,65.87
1282,Dromana Beach,09/03/1994,Wednesday,March,1994,0.67,7.64,33.72,,102.37,19.9,,2.05,5.25,170.39,66.11
1282,Dromana Beach,01/06/1994,Wednesday,June,1994,1.03,8.73,33.677,,101.17,12.6,,1.0,5.32,133.44,65.62
1282,Dromana Beach,27/06/1994,Monday,June,1994,0.57,8.61,33.726,,97.793,11.6,,4.85,4.76,173.11,68.64
1282,Dromana Beach,19/07/1994,Tuesday,July,1994,0.72,8.64,33.858,,97.15,11.1,,4.1,1.74,140.79,66.34
